division,organ,category,count,sum,sum_squared,max,min,mean
AQ,brain,VS,25997.0,1251506.0,141005610.0,434.0,1.0,48.140400815478706
CB,brain,grey,3445073.0,1038337693.0,111332999891.0,1105.0,0.0,301.3978783613584
CTXsp,brain,grey,569974.0,149842293.0,18393772841.0,538.0,7.0,262.8932074094608
HPF,brain,grey,2729402.0,801617152.0,92482928818.0,782.0,0.0,293.6969900366454
HY,brain,grey,972554.0,188758170.0,25621310524.0,563.0,3.0,194.08502766941476
Isocortex,brain,grey,7891055.0,2434721781.0,258908850909.0,3595.0,0.0,308.54198595751774
MB,brain,grey,2351116.0,407220213.0,55745672215.0,575.0,0.0,173.20294404869858
MY,brain,grey,1981978.0,179692182.0,20990397692.0,590.0,0.0,90.66305579577573
OLF,brain,grey,2993394.0,754919064.0,94711451862.0,2320.0,0.0,252.19502143720473
P,brain,grey,1069305.0,95310914.0,10975825764.0,485.0,0.0,89.1335156947737
PAL,brain,grey,599514.0,113720057.0,15496699323.0,747.0,2.0,189.68707486397315
STR,brain,grey,2877420.0,799796599.0,91879330259.0,610.0,2.0,277.9561548192478
TH,brain,grey,1297712.0,275419248.0,37154776896.0,869.0,0.0,212.2344927071646
V3,brain,VS,57603.0,3504636.0,381704264.0,409.0,0.0,60.841206187177754
V4,brain,VS,61757.0,4464057.0,488542535.0,634.0,0.0,72.28422688925951
VL,brain,VS,238904.0,12286828.0,1162691900.0,574.0,0.0,51.4299802431102
brain-unassigned,brain,brain-unassigned,227696.0,12128701.0,1140347743.0,428.0,0.0,53.26707979059799
c,brain,VS,31.0,4327.0,633749.0,174.0,63.0,139.58064516129033
cbf,brain,fiber tracts,628532.0,36727144.0,4077290836.0,463.0,1.0,58.43321262879217
cm,brain,fiber tracts,785582.0,51896741.0,6702461509.0,2116.0,0.0,66.06151999409354
eps,brain,fiber tracts,78620.0,2872658.0,176636480.0,296.0,2.0,36.53851437293309
fiber tracts-unassigned,brain,fiber tracts,99413.0,5663491.0,490746971.0,570.0,0.0,56.96931990785913
lfbs,brain,fiber tracts,826608.0,50635856.0,4441525108.0,464.0,2.0,61.25739891218087
mfbs,brain,fiber tracts,452716.0,38983099.0,4545051405.0,427.0,2.0,86.10939087639933
scwm,brain,fiber tracts,125428.0,11009740.0,1110190952.0,258.0,21.0,87.77737028414708
